,Equity_Premium,Term_Premium,Credit_Spread,Inflation,Liquidity
2004-03-31,0.022128426800000156,0.052444240211307,9.910000000012964e-05,0.0006999999999999229,-0.011747770530008195
2004-06-30,0.011865918769999872,-0.053323912576189514,0.002300859727999871,0.0013970386559998271,0.09531313551097109
2004-09-30,-0.024363932480000017,0.059866623466663604,-0.000900099832000123,-0.0014999199159999588,0.03623151411173309
2004-12-31,0.09640015949199987,0.011617091246630906,0.00220147026999995,0.0018997495249999385,0.030191904192489183
2005-03-31,-0.028438190200000046,0.002272664245206668,0.003604231620000009,0.0014993094049999822,0.010258504385001421
2005-06-30,0.015302144629999903,0.07781518904529605,-0.002997909760000139,-0.004394072530000015,0.01937055020065226
2005-09-30,0.031657902079999856,-0.04055366575904196,0.0002985491809996965,0.002901990170999902,0.13867463885568632
2005-12-31,0.012527647456000102,0.0033407660340134537,-0.00019998999999992773,-0.002299439919999924,-0.0038731043069886173
2006-03-31,0.04230907377000004,-0.053563292627318404,0.0016005100360001467,0.0017996000000000123,-0.057764333983605476
2006-06-30,-0.03195992041999984,-0.02823823381828705,0.00019985000000000142,0.0009989302040001036,0.038440548791259355
2006-09-30,0.031072653896000002,0.05689273827882291,-0.00039999999999995595,-0.0023983303119999855,-0.06838955643461919
2006-12-31,0.05867025290000005,-0.008844090577249775,0.0004995198919999222,-0.000700299999999987,0.12671524824027758
2007-03-31,0.0009864195920001873,-0.0039713804017244,-0.0005013402400001477,0.001399569272000134,0.019258576515123416
2007-06-30,0.04738805550799996,-0.03224049146654273,0.0011003400239999461,-0.0006000899860000297,0.17219413649971793
2007-09-30,0.0031439003040001356,0.03812976043773042,-0.004694931484999998,-0.0006015993279997467,-0.229675426568127
2007-12-31,-0.039389854960000026,0.04984537676495382,-0.004798189199999858,-0.0001000599999999574,-0.05099735721119392
2008-03-31,-0.10077693611799998,0.034128969987839985,-0.008277120999999998,0.00029918975699971817,-0.21512292235647246
2008-06-30,-0.02417324250100017,-0.027669087071812593,0.004104801727999652,0.0016989495589998516,0.06794092566263443
2008-09-30,-0.08653332087499988,0.025365164238251525,-0.006487587128000127,-0.009076987764999989,-0.2772655122751887
2008-12-31,-0.2225659434399999,0.19337491388587758,-0.023743861884999884,-0.014832726723999934,-0.11895549050599652
2009-03-31,-0.09968285627399986,-0.05916869259000723,0.004084727639000141,0.011708600672000191,-0.15695204969942156
2009-06-30,0.16396678399399978,-0.08085440077858341,0.01829192563399995,0.004703666865000233,0.044092738103304496
2009-09-30,0.15869913873599995,0.044086808242962405,0.00871983080000005,-2.2311220000403864e-06,0.10355257461063982
2009-12-31,0.05840372707999997,-0.05297631308131168,0.0012998399720001164,0.006211575799999869,-0.06333767031858661
2010-03-31,0.06221800405,0.012645916442550975,0.0023980462820001325,-0.0013018391199998147,0.1934226653445461
2010-06-30,-0.11289873123999994,0.11866741855711438,-0.004899607119999927,-0.004202298847999941,-0.0567613216821955
2010-09-30,0.1153200489199997,0.054232797025843826,0.00019976993999981651,-0.00040723854400004367,0.11079190312539056
2010-12-31,0.11608562210600004,-0.07971317044144643,0.0019944088099999036,0.005204565169999897,0.027312394463467893
2011-03-31,0.060037840679999954,-0.009521241963226013,0.0019002292850001101,0.0018010101799996736,-0.06377992124670873
2011-06-30,-0.0017455115800001364,0.03740459004616259,-0.0013004395800001456,-0.0005070251840001427,0.0717782806027274
2011-09-30,-0.15130658547999998,0.21092568142099788,-0.005392570689999987,-0.006788988830000009,-0.004648196233195567
2011-12-31,0.11862129567500013,0.020133056317305664,0.00019838911799974213,0.002095941224000253,0.047176656005515794
2012-03-31,0.13115638151999987,-0.05602278599154453,0.0021011900989997834,0.0036040513500001925,0.053519980213520224
